code,name
1,Personal Care Activities
101,Sleeping
102,Grooming
103,Health-related self care
104,Personal Activities
105,Personal Care Emergencies
199,"Personal care, n.e.c.*"
2,Household Activities
201,Housework
202,"Food & Drink Preparation, Presentation, & Clean-up"
203,"Interior Maintenance, Repair & Decoration"
204,"Exterior Maintenance, Repair & Decoration"
205,"Lawn, Garden, and Houseplants"
206,Animals and Pets
207,Vehicles
208,"Appliances, Tools, and Toys"
209,Household Management
299,"Household activities, n.e.c.*"
3,Caring For & Helping Household (HH) Members
301,Caring For & Helping HH Children
302,Activities Related to HH Children's Education
303,Activities Related to HH Children's Health
304,Caring for Household Adults
305,Helping Household Adults
399,Caring For & Helping NonHH Members
4,Caring for & Helping Nonhousehold (NonHH) Members
401,Caring for & Helping Nonhousehold Children
402,Activities Related to Nonhh Children's Education
403,Activities Related to Nonhh Children's Health
404,Caring For Nonhousehold Adults
405,Helping Nonhousehold Adults
499,"Caring For & Helping Nonhousehold Adults, n.e.c.*"
5,Work & Work-Related Activities
501,Working
502,Work-Related Activities
503,Other Income-Generating Activities
504,Job Search and Interviewing
599,"Work and Work-Related Activities, n.e.c.*"
6,Education
601,Taking Class
602,Extracurricular School Activities (Except Sports)
603,Research/Homework
604,Registration/Administrative activities
699,"Education, n.e.c.*"
7,Consumer Purchases
701,"Shopping (Store, Telephone, Internet)"
702,Researching Purchases
703,Security Procedures Related to Consumer Purchases
799,"Consumer Purchases, n.e.c.*"
8,Professional & Personal Care Services
801,Professional & Personal Care Services
802,Financial Services and Banking
803,Legal Services
804,Medical and Care Services
805,Personal Care Services
806,Real Estate
807,Veterinary Services (excluding grooming)
808,Security Procedures Related to Professional/Personal Services
899,"Professional and Personal Services, n.e.c.*"
9,Household Services
901,Household Services (not done by self)
902,Home Maintenance/Repair/Décor/Construction (not done by self)
903,"Pet Services (not done by self, not vet)"
904,Lawn & Garden Services (not done by self)
905,Vehicle Maintenance & Repair Services (not done by self)
999,"Household Services, n.e.c.*"
10,Government Services & Civic Obligations
1001,Using Government Services
1002,Civic Obligations & Participation
1003,Waiting Associated w/ Government Services or Civic Obligations
1004,Security Procedures Related to Government Services or Civic Obligations
1099,"Government services, n.e.c.*"
11,Eating and Drinking
1101,Eating and Drinking
1102,Waiting associated with Eating & Drinking
1199,"Eating and Drinking, n.e.c.*"
12,"Socializing, Relaxing, and Leisure"
1201,Socializing and Communicating
1202,Attending or Hosting Social Events
1203,Relaxing and Leisure
1204,Arts and Entertainment (other than sports)
1205,"Waiting associated with Socializing, Relaxing, and Leisure"
1299,"Socializing, Relaxing, and Leisure, n.e.c.*"
13,"Sports, Exercise, & Recreation"
1301,"Participating in Sports, Exercise, and Recreation"
1302,Attending Sports/Recreational Events
1303,"Waiting Associated with Sports, Exercise, & Recreation"
1304,"Security Procedures Related to Sports, Exercise, & Recreation"
1399,"Sports, Exercise, and Recreation, n.e.c.*"
14,Religious and Spiritual Activities
1401,Religious/Spiritual Practices
1499,"Religious and Spiritual Practices, n.e.c.*"
15,Volunteer Activities
1501,Administrative & Support Activities
1502,Social Service & Care Activities (Except Medical)
1503,"Indoor & Outdoor Maintenance, Building, & Clean-up Activities"
1504,Participating in Performance & Cultural Activities
1505,"Attending Meetings, Conferences, & Training"
1506,Public Health & Safety Activities
1599,"Volunteer Activities, n.e.c.*"
16,Telephone Calls
1601,Telephone Calls (to or from)
1699,"Telephone Calls, n.e.c.*"
18,Traveling
1801,Travel Related to Personal Care
1802,Travel Related to Household Activities
1803,Travel Related to Caring For & Helping Household Members
1804,Travel Related to Caring For & Helping Nonhousehold Members
1805,Travel Related to Work
1806,Travel Related to Education
1807,Travel Related to Consumer Purchases
1808,Travel Related to Using Professional and Personal Care Services
1809,Travel Related to Using Household Services
1810,Travel Related to Using Government Services & Civic Obligations
1811,Travel Related to Eating and Drinking
1812,"Travel Related to Socializing, Relaxing, and Leisure"
1813,"Travel Related to Sports, Exercise, and Recreation"
50,Data Codes
5001,Unable to Code
5099,"Data codes, n.e.c.*"
10101,Sleeping
10102,Sleeplessness
10199,"Sleeping, n.e.c.*"
10201,"Washing, dressing and grooming oneself"
10299,"Grooming, n.e.c.*"
10301,Health-related self care
10399,"Self care, n.e.c.*"
10401,Personal/Private activities
10499,"Personal activities, n.e.c.*"
10501,Personal emergencies
10599,"Personal care emergencies, n.e.c.*"
19999,"Personal care, n.e.c.*"
20101,Interior cleaning
20102,Laundry
20103,"Sewing, repairing, & maintaining textiles"
20104,"Storing interior hh items, inc. food"
20199,"Housework, n.e.c.*"
20201,Food and drink preparation
20202,Food presentation
20203,Kitchen and food clean-up
20299,"Food & drink prep, presentation, & clean-up, n.e.c.*"
20301,"Interior arrangement, decoration, & repairs"
20302,Building and repairing furniture
20303,Heating and cooling
20399,"Interior maintenance, repair, & decoration, n.e.c.*"
20401,Exterior cleaning
20402,"Exterior repair, improvements, & decoration"
20499,"Exterior maintenance, repair & decoration, n.e.c.*"
20501,"Lawn, garden, and houseplant care"
20502,"Ponds, pools, and hot tubs"
20599,"Lawn and garden, n.e.c.*"
20681,Care for animals and pets (not veterinary care)
20699,"Pet and animal care, n.e.c.*"
20701,Vehicle repair and maintenance (by self)
20799,"Vehicles, n.e.c.*"
20801,"Appliance, tool, and toy set-up, repair, & maintenance (by self)"
20899,"Appliances and tools, n.e.c.*"
20901,Financial management
20902,Household & personal organization and planning
20903,HH & personal mail & messages (except e-mail)
20904,HH & personal e-mail and messages
20905,Home security
20999,"Household management, n.e.c.*"
29999,"Household activities, n.e.c.*"
30101,Physical care for hh children
30102,Reading to/with hh children
30103,"Playing with hh children, not sports"
30104,Arts and crafts with hh children
30105,Playing sports with hh children
30186,Talking with/listening to hh children
30108,Organization & planning for hh children
30109,Looking after hh children (as a primary activity)
30110,Attending hh children's events
30111,Waiting for/with hh children
30112,Picking up/dropping off hh children
30199,"Caring for & helping hh children, n.e.c.*"
30201,Homework (hh children)
30202,Meetings and school conferences (hh children)
30203,Home schooling of hh children
30204,Waiting associated with hh children's education
30299,"Activities related to hh child's education, n.e.c.*"
30301,Providing medical care to hh children
30302,Obtaining medical care for hh children
30303,Waiting associated with hh children's health
30399,"Activities related to hh child's health, n.e.c.*"
30401,Physical care for hh adults
30402,Looking after hh adult (as a primary activity)
30403,Providing medical care to hh adult
30404,Obtaining medical and care services for hh adult
30405,Waiting associated with caring for household adults
30499,"Caring for household adults, n.e.c.*"
30501,Helping hh adults
30502,Organization & planning for hh adults
30503,Picking up/dropping off hh adult
30504,Waiting associated with helping hh adults
30599,"Helping household adults, n.e.c.*"
39999,"Caring for & helping hh members, n.e.c.*"
40101,Physical care for nonhh children
40102,Reading to/with nonhh children
40103,"Playing with nonhh children, not sports"
40104,Arts and crafts with nonhh children
40105,Playing sports with nonhh children
40186,Talking with/listening to nonhh children
40108,Organization & planning for nonhh children
40109,Looking after nonhh children (as primary activity)
40110,Attending nonhh children's events
40111,Waiting for/with nonhh children
40112,Dropping off/picking up nonhh children
40199,"Caring for and helping nonhh children, n.e.c.*"
40201,Homework (nonhh children)
40202,Meetings and school conferences (nonhh children)
40203,Home schooling of nonhh children
40204,Waiting associated with nonhh children's education
40299,"Activities related to nonhh child's educ., n.e.c.*"
40301,Providing medical care to nonhh children
40302,Obtaining medical care for nonhh children
40303,Waiting associated with nonhh children's health
40399,"Activities related to nonhh child's health, n.e.c.*"
40401,Physical care for nonhh adults
40402,Looking after nonhh adult (as a primary activity)
40403,Providing medical care to nonhh adult
40404,Obtaining medical and care services for nonhh adult
40405,Waiting associated with caring for nonhh adults
40499,"Caring for nonhh adults, n.e.c.*"
40501,"Housework, cooking, & shopping assistance for nonhh adults"
40502,House & lawn maintenance & repair assistance for nonhh adults
40503,Animal & pet care assistance for nonhh adults
40504,Vehicle & appliance maintenance/repair assistance for nonhh adults
40505,Financial management assistance for nonhh adults
40506,Household management & paperwork assistance for nonhh adults
40507,Picking up/dropping off nonhh adult
40508,Waiting associated with helping nonhh adults
49999,"Caring for & helping nonhh members, n.e.c.*"
50101,"Work, main job"
50102,"Work, other job(s)"
50103,Security procedures related to work
50189,"Working, n.e.c.*"
50201,"Socializing, relaxing, and leisure as part of job"
50202,Eating and drinking as part of job
50203,Sports and exercise as part of job
50204,Security procedures as part of job
50301,"Income-generating hobbies, crafts, and food"
50302,Income-generating performances
50303,Income-generating services
50304,Income-generating rental property activities
50389,"Other income-generating activities, n.e.c.*"
50481,Job search activities
50403,Job interviewing
50404,Waiting associated with job search or interview
50405,Security procedures rel. to job search/interviewing
59999,"Work and work-related activities, n.e.c.*"
60101,"Taking class for degree, certification, or licensure"
60102,Taking class for personal interest
60103,Waiting associated with taking classes
60104,Security procedures rel. to taking classes
60199,"Taking class, n.e.c.*"
60201,Extracurricular club activities
60202,Extracurricular music & performance activities
60203,Extracurricular student government activities
60289,"Education-related extracurricular activities, n.e.c.*"
60301,"Research/homework for class for degree, certification, or licensure"
60302,Research/homework for class for pers. interest
60303,Waiting associated with research/homework
60401,"Administrative activities: class for degree, certification, or licensure"
60403,Waiting associated w/admin. activities (education)
60499,"Administrative for education, n.e.c.*"
69999,"Education, n.e.c.*"
70101,Grocery shopping
70102,Purchasing gas
70103,Purchasing food (not groceries)
70104,"Shopping, except groceries, food and gas"
70105,Waiting associated with shopping
70199,"Shopping, n.e.c.*"
70201,Comparison shopping
70301,Security procedures rel. to consumer purchases
70399,"Security procedures rel. to consumer purchases, n.e.c.*"
79999,"Consumer purchases, n.e.c.*"
80101,Using paid childcare services
80102,Waiting associated w/purchasing childcare svcs
80199,"Using paid childcare services, n.e.c.*"
80201,Banking
80202,Using other financial services
80203,Waiting associated w/banking/financial services
80299,"Using financial services and banking, n.e.c.*"
80301,Using legal services
80302,Waiting associated with legal services
80399,"Using legal services, n.e.c.*"
80401,Using health and care services outside the home
80402,Using in-home health and care services
80403,Waiting associated with medical services
80499,"Using medical services, n.e.c.*"
80501,Using personal care services
80502,Waiting associated w/personal care services
80599,"Using personal care services, n.e.c.*"
80601,Activities rel. to purchasing/selling real estate
80602,Waiting associated w/purchasing/selling real estate
80699,"Using real estate services, n.e.c.*"
80701,Using veterinary services
80702,Waiting associated with veterinary services
80801,Security procedures rel. to professional/personal svcs.
80899,Security procedures rel. to professional/personal svcs n.e.c.*
89999,"Professional and personal services, n.e.c.*"
90101,Using interior cleaning services
90102,Using meal preparation services
90103,Using clothing repair and cleaning services
90104,Waiting associated with using household services
90199,"Using household services, n.e.c.*"
90201,Using home maint/repair/décor/construction svcs
90202,Waiting associated w/ home main/repair/décor/constr
90299,"Using home maint/repair/décor/constr services, n.e.c.*"
90301,Using pet services
90302,Waiting associated with pet services
90399,"Using pet services, n.e.c.*"
90401,Using lawn and garden services
90402,Waiting associated with using lawn & garden services
90499,"Using lawn and garden services, n.e.c.*"
90502,Waiting associated with vehicle main. or repair svcs
90599,"Using vehicle maint. & repair svcs, n.e.c.*"
99999,"Using household services, n.e.c.*"
100101,Using police and fire services
100102,Using social services
100103,"Obtaining licenses & paying fines, fees, taxes"
100199,"Using government services, n.e.c.*"
100201,Civic obligations & participation
100299,"Civic obligations & participation, n.e.c.*"
100381,Waiting associated with using government services
100383,Waiting associated w/civic obligations & participation
100399,"Waiting assoc. w/govt svcs or civic obligations, n.e.c.*"
100401,Security procedures rel. to govt svcs/civic obligations
100499,"Security procedures rel. to govt svcs/civic obligations, n.e.c.*"
109999,"Government services, n.e.c.*"
110101,Eating and drinking
110199,"Eating and drinking, n.e.c.*"
110281,Waiting associated w/eating & drinking
110289,"Waiting associated with eating & drinking, n.e.c.*"
119999,"Eating and drinking, n.e.c.*"
120101,Socializing and communicating with others
120199,"Socializing and communicating, n.e.c.*"
120201,Attending or hosting parties/receptions/ceremonies
120202,Attending meetings for personal interest (not volunteering)
120299,"Attending/hosting social events, n.e.c.*"
120301,"Relaxing, thinking"
120302,Tobacco and drug use
120303,Television and movies (not religious)
120304,Television (religious)
120305,Listening to the radio
120306,Listening to/playing music (not radio)
120307,Playing games
120308,Computer use for leisure (exc. Games)
120309,Arts and crafts as a hobby
120310,Collecting as a hobby
120311,"Hobbies, except arts & crafts and collecting"
120312,Reading for personal interest
120313,Writing for personal interest
120399,"Relaxing and leisure, n.e.c.*"
120401,Attending performing arts
120402,Attending museums
120403,Attending movies/film
120404,Attending gambling establishments
120405,Security procedures rel. to arts & entertainment
120499,"Arts and entertainment, n.e.c.*"
120502,Waiting assoc. w/attending/hosting social events
120503,Waiting associated with relaxing/leisure
120504,Waiting associated with arts & entertainment
120599,"Waiting associated with socializing, n.e.c.*"
129999,"Socializing, relaxing, and leisure, n.e.c.*"
130101,Doing aerobics
130102,Playing baseball
130103,Playing basketball
130104,Biking
130105,Playing billiards
130106,Boating
130107,Bowling
130108,"Climbing, spelunking, caving"
130109,Dancing
130110,Participating in equestrian sports
130111,Fencing
130112,Fishing
130113,Playing football
130114,Golfing
130115,Doing gymnastics
130116,Hiking
130117,Playing hockey
130118,Hunting
130119,Participating in martial arts
130120,Playing racquet sports
130121,Participating in rodeo competitions
130122,Rollerblading
130123,Playing rugby
130124,Running
130125,"Skiing, ice skating, snowboarding"
130126,Playing soccer
130127,Softball
130128,Using cardiovascular equipment
130129,Vehicle touring/racing
130130,Playing volleyball
130131,Walking
130132,Participating in water sports
130133,Weightlifting/strength training
130134,"Working out, unspecified"
130135,Wrestling
130136,Doing yoga
130199,Playing sports n.e.c.*
130201,Watching aerobics
130202,Watching baseball
130203,Watching basketball
130204,Watching biking
130205,Watching billiards
130206,Watching boating
130207,Watching bowling
130208,"Watching climbing, spelunking, caving"
130209,Watching dancing
130210,Watching equestrian sports
130211,Watching fencing
130212,Watching fishing
130213,Watching football
130214,Watching golfing
130215,Watching gymnastics
130216,Watching hockey
130217,Watching martial arts
130218,Watching racquet sports
130219,Watching rodeo competitions
130220,Watching rollerblading
130221,Watching rugby
130222,Watching running
130223,"Watching skiing, ice skating, snowboarding"
130224,Watching soccer
130225,Watching softball
130226,Watching vehicle touring/racing
130227,Watching volleyball
130228,Watching walking
130229,Watching water sports
130230,Watching weightlifting/strength training
130231,"Watching people working out, unspecified"
130232,Watching wrestling
130301,Waiting related to playing sports or exercising
130302,Waiting related to attending sporting events
130399,"Waiting associated with sports, exercise, & recreation, n.e.c.*"
130401,Security related to playing sports or exercising
130402,Security related to attending sporting events
130499,"Security related to sports, exercise, & recreation, n.e.c.*"
140101,Attending religious services
140102,Participation in religious practices
140103,Waiting associated w/religious & spiritual activities
140104,Security procedures rel. to religious & spiritual activities
140105,Religious education activities
149999,"Religious and spiritual activities, n.e.c.*"
150101,Computer use
150102,Organizing and preparing
150103,Reading
150104,Telephone calls (except hotline counseling)
150105,Writing
150106,Fundraising
150199,"Administrative & support activities, n.e.c.*"
150201,"Food preparation, presentation, clean-up"
150202,Collecting & delivering clothing & other goods
150203,Providing care
150204,"Teaching, leading, counseling, mentoring"
150299,"Social service & care activities, n.e.c.*"
150301,"Building houses, wildlife sites, & other structures"
150302,"Indoor & outdoor maintenance, repair, & clean-up"
150399,"Indoor & outdoor maintenance, building & clean-up activities, n.e.c.*"
150401,Performing
150499,"Participating in performance & cultural activities, n.e.c.*"
150501,"Attending meetings, conferences, & training"
150599,"Attending meetings, conferences, & training, n.e.c.*"
150601,Public health activities
150602,Public safety activities
150699,"Public health & safety activities, n.e.c.*"
159989,"Volunteer activities, n.e.c.*"
160101,Telephone calls to/from family members
160102,"Telephone calls to/from friends, neighbors, or acquaintances"
160103,Telephone calls to/from education services providers
160104,Telephone calls to/from salespeople
160105,Telephone calls to/from professional or personal care svcs providers
160106,Telephone calls to/from household services providers
160108,Telephone calls to/from government officials
169989,"Telephone calls, n.e.c.*"
180101,Travel related to personal care
180199,"Travel related to personal care, n.e.c.*"
180280,Travel related to household activities
180381,Travel related to caring for and helping hh children
180382,Travel related to caring for and helping hh adults
180399,"Travel rel. to caring for & helping hh members, n.e.c.*"
180481,Travel related to caring for and helping nonhh children
180482,Travel related to caring for and helping nonhh adults
180499,"Travel rel. to caring for & helping nonhh members, n.e.c.*"
180501,Travel related to working
180502,Travel related to work-related activities
180589,"Travel related to work, n.e.c.*"
180601,Travel related to taking class
180699,"Travel related to education, n.e.c.*"
180701,Travel related to grocery shopping
180782,Travel related to shopping (except grocery shopping)
180801,Travel related to using childcare services
180802,Travel related to using financial services and banking
180803,Travel related to using legal services
180804,Travel related to using medical services
180805,Travel related to using personal care services
180806,Travel related to using real estate services
180807,Travel related to using veterinary services
180899,"Travel rel. to using prof. & personal care services, n.e.c.*"
180901,Travel related to using household services
180902,Travel related to using home main./repair/décor./construction svcs
180903,Travel related to using pet services (not vet)
180904,Travel related to using lawn and garden services
180905,Travel related to using vehicle maintenance & repair services
180999,"Travel related to using household services, n.e.c.*"
181002,Travel related to civic obligations & participation
181099,"Travel rel. to govt svcs & civic obligations, n.e.c.*"
181101,Travel related to eating and drinking
181199,"Travel related to eating and drinking, n.e.c.*"
181201,Travel related to socializing and communicating
181202,Travel related to attending or hosting social events
181283,Travel related to relaxing and leisure
181204,Travel related to arts and entertainment
181299,"Travel rel. to socializing, relaxing, & leisure, n.e.c.*"
181301,Travel related to participating in sports/exercise/recreation
181302,Travel related to attending sporting/recreational events
181399,"Travel related to sports, exercise, & recreation, n.e.c.*"
181401,Travel related to religious/spiritual practices
181499,"Travel rel. to religious/spiritual activities, n.e.c.*"
181501,Travel related to volunteering
181599,"Travel related to volunteer activities, n.e.c.*"
181601,Travel related to phone calls
181699,"Travel rel. to phone calls, n.e.c.*"
181801,Security procedures related to traveling
181899,"Security procedures related to traveling, n.e.c.*"
189999,"Traveling, n.e.c.*"
509989,Insufficient detail in verbatim
